score,lang,partition,task
0.7839137222587892,ha,raw_wiki,sib200
0.7858686960766544,ha,pre_filtered,sib200
0.7358843440929829,ha,thresholded_wiki,sib200
0.772880948138667,ha,absolute_lo,sib200
0.759415500215965,ha,absolute_hi,sib200
0.7543595064187519,ha,fraction_lo,sib200
0.7397310881622814,ha,fraction_hi,sib200
0.7575211467338641,ha,entropy_lo,sib200
0.7740767499083819,ha,entropy_hi,sib200
0.7528841069602322,ig,raw_wiki,sib200
0.773529808005711,ig,pre_filtered,sib200
0.7569190513027834,ig,thresholded_wiki,sib200
0.755284003569015,ig,absolute_lo,sib200
0.7576357743254728,ig,absolute_hi,sib200
0.7553990659052162,ig,fraction_lo,sib200
0.7606624574913249,ig,fraction_hi,sib200
0.7323636367344896,ig,entropy_lo,sib200
0.7817642730461698,ig,entropy_hi,sib200
0.6427113415254048,sn,raw_wiki,sib200
0.6081027014308152,sn,pre_filtered,sib200
0.6196320618273137,sn,thresholded_wiki,sib200
0.5730607246880545,sn,absolute_lo,sib200
0.6607496495608399,sn,absolute_hi,sib200
0.6053075676342912,sn,fraction_lo,sib200
0.572811268887205,sn,fraction_hi,sib200
0.5300711094086299,sn,entropy_lo,sib200
0.6018521125901458,sn,entropy_hi,sib200
0.7183701341527502,so,raw_wiki,sib200
0.7198002605198178,so,pre_filtered,sib200
0.7246745262183358,so,thresholded_wiki,sib200
0.6856570030548595,so,absolute_lo,sib200
0.6287244169985421,so,absolute_hi,sib200
0.6224698092360141,so,fraction_lo,sib200
0.7008609588623771,so,fraction_hi,sib200
0.7047306845849519,so,entropy_lo,sib200
0.682340722549464,so,entropy_hi,sib200
0.7697927483671976,rw,raw_wiki,sib200
0.7659273128053026,rw,pre_filtered,sib200
0.7037486375098062,rw,thresholded_wiki,sib200
0.687765011924884,rw,absolute_lo,sib200
0.7775787558915791,rw,absolute_hi,sib200
0.7360905442113473,rw,fraction_lo,sib200
0.7669109014914666,rw,fraction_hi,sib200
0.6687377109973685,rw,entropy_lo,sib200
0.7216174334277867,rw,entropy_hi,sib200
0.6374302482914697,tw,raw_wiki,sib200
0.6872364563075231,tw,pre_filtered,sib200
0.706643268545585,tw,thresholded_wiki,sib200
0.6043964995654906,tw,absolute_lo,sib200
0.607599673296907,tw,absolute_hi,sib200
0.7112141640208683,tw,fraction_lo,sib200
0.6308398464206368,tw,fraction_hi,sib200
0.639233955900563,tw,entropy_lo,sib200
0.6328283678475577,tw,entropy_hi,sib200
0.6296719379173984,ln,raw_wiki,sib200
0.5815805489853159,ln,pre_filtered,sib200
0.5596103236102578,ln,thresholded_wiki,sib200
0.5629363952115861,ln,absolute_lo,sib200
0.5853952040057314,ln,absolute_hi,sib200
0.5906364232389678,ln,fraction_lo,sib200
0.5633479835649027,ln,fraction_hi,sib200
0.5233401495881908,ln,entropy_lo,sib200
0.5623048223489361,ln,entropy_hi,sib200
0.5315362985264178,wo,raw_wiki,sib200
0.5253442168314718,wo,pre_filtered,sib200
0.4507367336847073,wo,thresholded_wiki,sib200
0.5131298024688568,wo,absolute_lo,sib200
0.3633766122364334,wo,absolute_hi,sib200
0.4720030412160413,wo,fraction_lo,sib200
0.4864866010788756,wo,fraction_hi,sib200
0.47961915162282265,wo,entropy_lo,sib200
0.4547052659567916,wo,entropy_hi,sib200
0.5971346653905238,om,raw_wiki,sib200
0.5842328396939006,om,pre_filtered,sib200
0.5767623749079617,om,thresholded_wiki,sib200
0.5556593825782432,om,absolute_lo,sib200
0.5519490447121345,om,absolute_hi,sib200
0.5071439389356973,om,fraction_lo,sib200
0.5678622982497208,om,fraction_hi,sib200
0.570101731850216,om,entropy_lo,sib200
0.588999538469038,om,entropy_hi,sib200
0.6596526311692915,ny,raw_wiki,sib200
0.5409246237743583,ny,pre_filtered,sib200
0.6368250473774888,ny,thresholded_wiki,sib200
0.5990053719640857,ny,absolute_lo,sib200
0.6322732936497508,ny,absolute_hi,sib200
0.6180003467661435,ny,fraction_lo,sib200
0.6108440568968365,ny,fraction_hi,sib200
0.5613731097253006,ny,entropy_lo,sib200
0.5706785255260647,ny,entropy_hi,sib200
0.6103778885798492,ee,raw_wiki,sib200
0.6158786250683989,ee,pre_filtered,sib200
0.5951970508597555,ee,thresholded_wiki,sib200
0.48737369825225557,ee,absolute_lo,sib200
0.6027583290652495,ee,absolute_hi,sib200
0.5685181075303857,ee,fraction_lo,sib200
0.5620051061167767,ee,fraction_hi,sib200
0.5572946124626353,ee,entropy_lo,sib200
0.5558108274331456,ee,entropy_hi,sib200
0.4296768109717121,bm,raw_wiki,sib200
0.47437532854056547,bm,pre_filtered,sib200
0.4854719830829745,bm,thresholded_wiki,sib200
0.40184299016062114,bm,absolute_lo,sib200
0.3009020201875926,bm,absolute_hi,sib200
0.49000873973008263,bm,fraction_lo,sib200
0.43082660945524776,bm,fraction_hi,sib200
0.48350675455786873,bm,entropy_lo,sib200
0.3980588262771293,bm,entropy_hi,sib200
0.6356145158862205,ts,raw_wiki,sib200
0.6160783384644405,ts,pre_filtered,sib200
0.6159866489857163,ts,thresholded_wiki,sib200
0.5598594840025649,ts,absolute_lo,sib200
0.4902507400950714,ts,absolute_hi,sib200
0.5017359695396505,ts,fraction_lo,sib200
0.5215830465715392,ts,fraction_hi,sib200
0.5289442625679922,ts,entropy_lo,sib200
0.5338230792776247,ts,entropy_hi,sib200
0.4630029941410329,fon,raw_wiki,sib200
0.47470670114868907,fon,pre_filtered,sib200
0.4920786647465254,fon,thresholded_wiki,sib200
0.4200332200858028,fon,absolute_lo,sib200
0.46538359070299196,fon,absolute_hi,sib200
0.4819776023098605,fon,fraction_lo,sib200
0.4858618601492981,fon,fraction_hi,sib200
0.42214828683645944,fon,entropy_lo,sib200
0.49402671888054844,fon,entropy_hi,sib200
0.3713801684661393,ti,raw_wiki,sib200
0.4349189271336329,ti,pre_filtered,sib200
0.4370649282290977,ti,thresholded_wiki,sib200
0.38931440460140754,ti,absolute_lo,sib200
0.27903277881694355,ti,absolute_hi,sib200
0.3677272608354574,ti,fraction_lo,sib200
0.3834459263298378,ti,fraction_hi,sib200
0.363604490138842,ti,entropy_lo,sib200
0.3407277186025049,ti,entropy_hi,sib200
0.7710076649376834,sw,raw_wiki,sib200
0.7964506219861033,sw,pre_filtered,sib200
0.8036793397363533,sw,thresholded_wiki,sib200
0.7948822625602634,sw,absolute_lo,sib200
0.7825925017667048,sw,absolute_hi,sib200
0.8002515043707059,sw,fraction_lo,sib200
0.8164560864524468,sw,fraction_hi,sib200
0.7709919140455269,sw,entropy_lo,sib200
0.8406566547022816,sw,entropy_hi,sib200
0.6619175009489525,am,raw_wiki,sib200
0.6299177816705492,am,pre_filtered,sib200
0.5734880367365307,am,thresholded_wiki,sib200
0.6293035718964052,am,absolute_lo,sib200
0.5854902793058371,am,absolute_hi,sib200
0.5725010698827975,am,fraction_lo,sib200
0.6162706818405215,am,fraction_hi,sib200
0.5485528254108925,am,entropy_lo,sib200
0.6031460696479365,am,entropy_hi,sib200
0.7073787936868803,zu,raw_wiki,sib200
0.6574361218262416,zu,pre_filtered,sib200
0.7118081758721357,zu,thresholded_wiki,sib200
0.6298243243239177,zu,absolute_lo,sib200
0.6939245201113443,zu,absolute_hi,sib200
0.7304524563704501,zu,fraction_lo,sib200
0.7036616559337042,zu,fraction_hi,sib200
0.6522870927817245,zu,entropy_lo,sib200
0.6699124188084572,zu,entropy_hi,sib200
0.5941415188031313,ary,raw_wiki,sib200
0.6118968484419625,ary,pre_filtered,sib200
0.6077588709473081,ary,thresholded_wiki,sib200
0.6075527271506285,ary,absolute_lo,sib200
0.5638431644486666,ary,absolute_hi,sib200
0.5483476114275448,ary,fraction_lo,sib200
0.6450186017095169,ary,fraction_hi,sib200
0.5249988419506488,ary,entropy_lo,sib200
0.5760821132428185,ary,entropy_hi,sib200
0.5613896363155846,lg,raw_wiki,sib200
0.567845293877554,lg,pre_filtered,sib200
0.5714601517349188,lg,thresholded_wiki,sib200
0.4751915888989911,lg,absolute_lo,sib200
0.5439547535026231,lg,absolute_hi,sib200
0.5135940806571816,lg,fraction_lo,sib200
0.5165819615967258,lg,fraction_hi,sib200
0.5380205498786549,lg,entropy_lo,sib200
0.5334186179755985,lg,entropy_hi,sib200
0.5577945232117805,tn,raw_wiki,sib200
0.6359477204925454,tn,pre_filtered,sib200
0.5746880213705976,tn,thresholded_wiki,sib200
0.6179969414236283,tn,absolute_lo,sib200
0.5985960544051033,tn,absolute_hi,sib200
0.622971954895119,tn,fraction_lo,sib200
0.599458517017856,tn,fraction_hi,sib200
0.5737631852189399,tn,entropy_lo,sib200
0.5862937271782697,tn,entropy_hi,sib200
0.5171841203645459,rn,raw_wiki,sib200
0.5282536419532002,rn,pre_filtered,sib200
0.5218158244003714,rn,thresholded_wiki,sib200
0.46411974810881756,rn,absolute_lo,sib200
0.4428854828297136,rn,absolute_hi,sib200
0.42903603381651867,rn,fraction_lo,sib200
0.49093521523872063,rn,fraction_hi,sib200
0.5321910916811032,rn,entropy_lo,sib200
0.5180900309901513,rn,entropy_hi,sib200
0.8148688314321121,ckb,raw_wiki,sib200
0.8151046530192563,ckb,pre_filtered,sib200
0.8502045496591768,ckb,thresholded_wiki,sib200
0.7948871436689268,ckb,absolute_lo,sib200
0.8475151325726912,ckb,absolute_hi,sib200
0.8434869613742387,ckb,fraction_lo,sib200
0.8294653807072635,ckb,fraction_hi,sib200
0.8202238382517869,ckb,entropy_lo,sib200
0.8126297288003536,ckb,entropy_hi,sib200
0.4423673148759433,ks,raw_wiki,sib200
0.4291207540720293,ks,pre_filtered,sib200
0.4453520792349686,ks,thresholded_wiki,sib200
0.4355209719028767,ks,absolute_lo,sib200
0.3929398165590481,ks,absolute_hi,sib200
0.4161249383864966,ks,fraction_lo,sib200
0.4268187067207865,ks,fraction_hi,sib200
0.4300875381884395,ks,entropy_lo,sib200
0.38020957038842684,ks,entropy_hi,sib200
0.5378991840274182,awa,raw_wiki,sib200
0.5488418354219669,awa,pre_filtered,sib200
0.5077423712604356,awa,thresholded_wiki,sib200
0.4893779452618763,awa,absolute_lo,sib200
0.5079037953253414,awa,absolute_hi,sib200
0.5593562398942576,awa,fraction_lo,sib200
0.48791001745110457,awa,fraction_hi,sib200
0.4586730248097165,awa,entropy_lo,sib200
0.5057117239813491,awa,entropy_hi,sib200
0.7098315346754045,yo,raw_wiki,sib200
0.6746692958007848,yo,pre_filtered,sib200
0.6882031165240902,yo,thresholded_wiki,sib200
0.6621657948740641,yo,absolute_lo,sib200
0.6085909776285641,yo,absolute_hi,sib200
0.622136436971239,yo,fraction_lo,sib200
0.7198268663110877,yo,fraction_hi,sib200
0.6736834019410268,yo,entropy_lo,sib200
0.6717628214167329,yo,entropy_hi,sib200
0.8117747416693608,kk,raw_wiki,sib200
0.8399730048644165,kk,pre_filtered,sib200
0.7930779514110036,kk,thresholded_wiki,sib200
0.788312316168243,kk,absolute_lo,sib200
0.8274621338681314,kk,absolute_hi,sib200
0.8378264899318537,kk,fraction_lo,sib200
0.852477142150487,kk,fraction_hi,sib200
0.79512959769136,kk,entropy_lo,sib200
0.8249943780921685,kk,entropy_hi,sib200
0.7624151338221957,mr,raw_wiki,sib200
0.7647996061650624,mr,pre_filtered,sib200
0.7799224928307336,mr,thresholded_wiki,sib200
0.7747174813428699,mr,absolute_lo,sib200
0.7824040610976725,mr,absolute_hi,sib200
0.7989097819227817,mr,fraction_lo,sib200
0.7452065318607358,mr,fraction_hi,sib200
0.7495104883832129,mr,entropy_lo,sib200
0.7797088459490564,mr,entropy_hi,sib200
0.8010220448973954,te,raw_wiki,sib200
0.7733862178431818,te,pre_filtered,sib200
0.7852987933209175,te,thresholded_wiki,sib200
0.8497909598318117,te,absolute_lo,sib200
0.8270806564161772,te,absolute_hi,sib200
0.8338891510209255,te,fraction_lo,sib200
0.7902968257481251,te,fraction_hi,sib200
0.8195687911649013,te,entropy_lo,sib200
0.8460811702728736,te,entropy_hi,sib200
0.6275471046134304,ht,raw_wiki,sib200
0.6572612008554967,ht,pre_filtered,sib200
0.609521270391913,ht,thresholded_wiki,sib200
0.7066056886917063,ht,absolute_lo,sib200
0.6650788501510703,ht,absolute_hi,sib200
0.7112724250510113,ht,fraction_lo,sib200
0.6596479339395261,ht,fraction_hi,sib200
0.6704108628432924,ht,entropy_lo,sib200
0.71294500714027,ht,entropy_hi,sib200
0.5059824644389462,nso,raw_wiki,sib200
0.4857782046370569,nso,pre_filtered,sib200
0.41402305296353625,nso,thresholded_wiki,sib200
0.44974655461568563,nso,absolute_lo,sib200
0.5221084089213175,nso,absolute_hi,sib200
0.5103282763947812,nso,fraction_lo,sib200
0.4394660250411989,nso,fraction_hi,sib200
0.39686056650660473,nso,entropy_lo,sib200
0.5008944519696097,nso,entropy_hi,sib200
0.6417348512594497,lij,raw_wiki,sib200
0.5997586161997577,lij,pre_filtered,sib200
0.5393324052367069,lij,thresholded_wiki,sib200
0.5126648258940945,lij,absolute_lo,sib200
0.49822809989395594,lij,absolute_hi,sib200
0.4906535914150885,lij,fraction_lo,sib200
0.5106463365145688,lij,fraction_hi,sib200
0.601473442558804,lij,entropy_lo,sib200
0.5275963637332918,lij,entropy_hi,sib200
0.23934851858796144,ace,raw_wiki,sib200
0.2275790953831732,ace,pre_filtered,sib200
0.17916527011398284,ace,thresholded_wiki,sib200
0.15766149484690178,ace,absolute_lo,sib200
0.20235541940789298,ace,absolute_hi,sib200
0.1839603501088862,ace,fraction_lo,sib200
0.21626782677937925,ace,fraction_hi,sib200
0.17707517392442848,ace,entropy_lo,sib200
0.21710550737569656,ace,entropy_hi,sib200
0.7398319913856957,shn,raw_wiki,sib200
0.7188325839330527,shn,pre_filtered,sib200
0.727551145613412,shn,thresholded_wiki,sib200
0.7000624494064174,shn,absolute_lo,sib200
0.7550746040018799,shn,absolute_hi,sib200
0.7510492379497293,shn,fraction_lo,sib200
0.7312970519075447,shn,fraction_hi,sib200
0.6924925220218712,shn,entropy_lo,sib200
0.7301721336036887,shn,entropy_hi,sib200
0.6317630669355242,mai,raw_wiki,sib200
0.6689601182207657,mai,pre_filtered,sib200
0.6274518600394686,mai,thresholded_wiki,sib200
0.4217175122263139,mai,absolute_lo,sib200
0.46195380347243237,mai,absolute_hi,sib200
0.6246316470598099,mai,fraction_lo,sib200
0.6333794318422392,mai,fraction_hi,sib200
0.6166059635598422,mai,entropy_lo,sib200
0.6674907520236564,mai,entropy_hi,sib200
0.6449749011714805,ban,raw_wiki,sib200
0.6403703961609231,ban,pre_filtered,sib200
0.6915236262631901,ban,thresholded_wiki,sib200
0.5785017425714822,ban,absolute_lo,sib200
0.6367919488899809,ban,absolute_hi,sib200
0.6515102131014567,ban,fraction_lo,sib200
0.6726046056795661,ban,fraction_hi,sib200
0.6069514331803998,ban,entropy_lo,sib200
0.6250336166930796,ban,entropy_hi,sib200
0.2511998811371002,mni,raw_wiki,sib200
0.12996926770074915,mni,pre_filtered,sib200
0.23399614826512363,mni,thresholded_wiki,sib200
0.21423118487871173,mni,absolute_lo,sib200
0.267691196235424,mni,absolute_hi,sib200
0.18864066073612631,mni,fraction_lo,sib200
0.1811027017834956,mni,fraction_hi,sib200
0.2249898605056073,mni,entropy_lo,sib200
0.19843013332882709,mni,entropy_hi,sib200
0.5470775319304085,mi,raw_wiki,sib200
0.5487137934047719,mi,pre_filtered,sib200
0.5036961246571602,mi,thresholded_wiki,sib200
0.5858504746039592,mi,absolute_lo,sib200
0.585562945402024,mi,absolute_hi,sib200
0.51373718403967,mi,fraction_lo,sib200
0.5149233893022245,mi,fraction_hi,sib200
0.48933823782917724,mi,entropy_lo,sib200
0.5596572986717055,mi,entropy_hi,sib200
0.5310735649124199,pag,raw_wiki,sib200
0.524989616246563,pag,pre_filtered,sib200
0.4821083035639996,pag,thresholded_wiki,sib200
0.4457198811817628,pag,absolute_lo,sib200
0.4716382854805165,pag,absolute_hi,sib200
0.45666450071960163,pag,fraction_lo,sib200
0.46929364258262374,pag,fraction_hi,sib200
0.4616013872944644,pag,entropy_lo,sib200
0.4126478600257118,pag,entropy_hi,sib200
0.8181772715618795,vi,raw_wiki,sib200
0.8447859705135726,vi,pre_filtered,sib200
0.8556872382991373,vi,thresholded_wiki,sib200
0.810236833295203,vi,absolute_lo,sib200
0.8315859085283452,vi,absolute_hi,sib200
0.8295632334867504,vi,fraction_lo,sib200
0.8370312260458096,vi,fraction_hi,sib200
0.8476293175005759,vi,entropy_lo,sib200
0.8351495759498122,vi,entropy_hi,sib200
0.5415950908888273,war,raw_wiki,sib200
0.5272617885604519,war,pre_filtered,sib200
0.4604341460905118,war,thresholded_wiki,sib200
0.45871913846566925,war,absolute_lo,sib200
0.5089455386654633,war,absolute_hi,sib200
0.530838346764494,war,fraction_lo,sib200
0.4961862066820856,war,fraction_hi,sib200
0.45620306499365626,war,entropy_lo,sib200
0.5973946779790782,war,entropy_hi,sib200
0.7852186547132944,tt,raw_wiki,sib200
0.7560172295318858,tt,pre_filtered,sib200
0.7719003272566878,tt,thresholded_wiki,sib200
0.7208215061997343,tt,absolute_lo,sib200
0.6990254426153978,tt,absolute_hi,sib200
0.7551814844757062,tt,fraction_lo,sib200
0.6863885299693626,tt,fraction_hi,sib200
0.6955595438410239,tt,entropy_lo,sib200
0.6909713587974888,tt,entropy_hi,sib200
0.5294220468106247,azb,raw_wiki,sib200
0.5224565424879506,azb,pre_filtered,sib200
0.5402378957722509,azb,thresholded_wiki,sib200
0.4434333288528995,azb,absolute_lo,sib200
0.5672058463525151,azb,absolute_hi,sib200
0.5620582284690093,azb,fraction_lo,sib200
0.4850920229237543,azb,fraction_hi,sib200
0.45878217630284673,azb,entropy_lo,sib200
0.4603269203055431,azb,entropy_hi,sib200
0.7971313873538033,ro,raw_wiki,sib200
0.7882043626342079,ro,pre_filtered,sib200
0.8255648616454352,ro,thresholded_wiki,sib200
0.8051539095130489,ro,absolute_lo,sib200
0.8062573407753159,ro,absolute_hi,sib200
0.8034712861399104,ro,fraction_lo,sib200
0.8152860581485278,ro,fraction_hi,sib200
0.8111330527438181,ro,entropy_lo,sib200
0.8197434693290473,ro,entropy_hi,sib200
0.8403211944792434,id,raw_wiki,sib200
0.8544023390090157,id,pre_filtered,sib200
0.8243396167088439,id,thresholded_wiki,sib200
0.8649761435070237,id,absolute_lo,sib200
0.8191579830429411,id,absolute_hi,sib200
0.8257858596561969,id,fraction_lo,sib200
0.8180613070615669,id,fraction_hi,sib200
0.8402471783047244,id,entropy_lo,sib200
0.8131619376428099,id,entropy_hi,sib200
0.8200165264585942,hu,raw_wiki,sib200
0.8228965459295808,hu,pre_filtered,sib200
0.8496350923068625,hu,thresholded_wiki,sib200
0.8178751901674609,hu,absolute_lo,sib200
0.8499946319745932,hu,absolute_hi,sib200
0.8401493727579202,hu,fraction_lo,sib200
0.8144968480788324,hu,fraction_hi,sib200
0.8343813042385413,hu,entropy_lo,sib200
0.8058161150564155,hu,entropy_hi,sib200
0.8355293371772455,nl,raw_wiki,sib200
0.8040343147428711,nl,pre_filtered,sib200
0.8399200550077416,nl,thresholded_wiki,sib200
0.8441200416122523,nl,absolute_lo,sib200
0.814506813898985,nl,absolute_hi,sib200
0.8226621798868287,nl,fraction_lo,sib200
0.8222159285215879,nl,fraction_hi,sib200
0.8347022756747742,nl,entropy_lo,sib200
0.7745318307566884,nl,entropy_hi,sib200
0.8602436513071309,uk,raw_wiki,sib200
0.8464645233036944,uk,pre_filtered,sib200
0.8484859126785695,uk,thresholded_wiki,sib200
0.8288190448304089,uk,absolute_lo,sib200
0.8190032757592197,uk,absolute_hi,sib200
0.8458575132666316,uk,fraction_lo,sib200
0.8328825052959908,uk,fraction_hi,sib200
0.8237629469176001,uk,entropy_lo,sib200
0.8196720975060248,uk,entropy_hi,sib200
0.39545383140626295,ceb,raw_wiki,sib200
0.48272821061912413,ceb,pre_filtered,sib200
0.5058355761341545,ceb,thresholded_wiki,sib200
0.4847561555804472,ceb,absolute_lo,sib200
0.5264701370654106,ceb,absolute_hi,sib200
0.5591645625656946,ceb,fraction_lo,sib200
0.49961122558967475,ceb,fraction_hi,sib200
0.5447344174605082,ceb,entropy_lo,sib200
0.5350564032707184,ceb,entropy_hi,sib200
0.6882325171931403,min,raw_wiki,sib200
0.600471579947374,min,pre_filtered,sib200
0.5100705641511785,min,thresholded_wiki,sib200
0.4762546046357129,min,absolute_lo,sib200
0.4961924627544244,min,absolute_hi,sib200
0.5176531314624375,min,fraction_lo,sib200
0.4481336656510477,min,fraction_hi,sib200
0.47606679670095714,min,entropy_lo,sib200
0.4802498981204829,min,entropy_hi,sib200
